"LIBRARYREFERENCE","FOOTPRINT1","ACCURACY","ACTUATOR LENGTH","ACTUATOR MATERIAL","ACTUATOR TYPE","AVERAGE RECTIFIED CURRENT","BREAKDOWN VOLTAGE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CATEGORY","CLAMPING VOLTAGE","CLOCK FREQUENCY","COLOR","COMMENT","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","CONNECTOR TYPE","CONSTRUCTION","CONTACT CURRENT RATING","CONTACT FINISH - MATING","CONTACT GENDER","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","CONTACT POST LENGTH","CONTACT SHAPE","CONTACT TYPE","CORE ARCHITECTURE","CORE MATERIAL","CURRENT RATING","DATA BUS WIDTH","DC RESISTANCE (DCR)","DEPTH","DIAMETER","DIELECTRIC","DISSIPATION FACTOR","DOMINANT WAVELENGTH","DROPOUT VOLTAGE","ELV","ESR","ESR (EQUIVALENT SERIES RESISTANCE)","FASTENING TYPE","FEATURES","FLAMMABILITY RATING","FORWARD CURRENT","FORWARD VOLTAGE","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","GENDER","HEIGHT","HEIGHT - SEATED (MAX)","HOUSING MATERIAL","ILLUMINATION TYPE","IMPEDANCE","INDUCTANCE TOLERANCE","INPUT BIAS CURRENT","INSULATION COLOR","INSULATION MATERIAL","INSULATION RESISTANCE","INTERFACE","LEAD FREE","LEAD PITCH","LEAKAGE CURRENT","LENGTH","LENS COLOR","LENS TRANSPARENCY","LIFE (HOURS)","LOAD CAPACITANCE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER PART NUMBER","MATED STACKING HEIGHTS","MATERIAL","MAX CURRENT RATING","MAX DC CURRENT","MAX FORWARD SURGE CURRENT (IFSM)","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX OUTPUT VOLTAGE","MAX POWER DISSIPATION","MAX REPETITIVE REVERSE VOLTAGE (VRRM)","MAX REVERSE CURRENT","MAX REVERSE LEAKAGE CURRENT","MAX REVERSE VOLTAGE (DC)","MAX SUPPLY VOLTAGE","MAX SURGE CURRENT","MAX VOLTAGE RATING (AC)","MAX VOLTAGE RATING (DC)","MECHANICAL LIFE","MEMORY FORMAT","MEMORY SIZE","MILITARY STANDARD","MIN CURRENT LIMIT","MIN INPUT VOLTAGE","MIN OPERATING TEMPERATURE","MIN OUTPUT VOLTAGE","MIN SUPPLY VOLTAGE","MOUNTING TECHNOLOGY","NOMINAL SUPPLY CURRENT","NUMBER OF ADC CHANNELS","NUMBER OF BITS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF INPUTS","NUMBER OF LINES","NUMBER OF OUTPUTS","NUMBER OF PORTS","NUMBER OF POSITIONS","NUMBER OF PWM CHANNELS","NUMBER OF REGULATORS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","OPERATING FORCE","OPERATING FREQUENCY","OPERATING SUPPLY VOLTAGE","ORIENTATION","OSCILLATOR TYPE","OUTPUT CURRENT","OUTPUT TYPE","OUTPUT VOLTAGE","PACKAGE QUANTITY","PACKAGING","PEAK NON-REPETITIVE SURGE CURRENT","PERIPHERALS","PINS","PITCH","POLARITY","POWER DISSIPATION","POWER RATING","PRICING","PROPAGATION DELAY","QUIESCENT CURRENT","RADIATION HARDENING","RAM SIZE","RATINGS","REACH SVHC COMPLIANT","RECOVERY TIME","RESISTANCE TOLERANCE","RESISTOR TYPE","REVERSE RECOVERY TIME","REVERSE RECOVERY TIME-MAX","REVERSE VOLTAGE","RIPPLE CURRENT","RIPPLE CURRENT (AC)","RMS CURRENT (IRMS)","ROHS","ROHS COMPLIANT","SATURATION CURRENT","SERIES","SHIELDING","STOCK","SUPPLIER","SUPPLIER PART NUMBER","SWITCH FUNCTION","SWITCH TRAVEL","TECHNOLOGY","TEMPERATURE COEFFICIENT","TERMINATION","TEST CURRENT","TEST FREQUENCY","THICKNESS","THROW CONFIGURATION","TOLERANCE","TYPE","VALUE","VIEWING ANGLE","VOLTAGE","VOLTAGE RATING","VOLTAGE RATING (AC)","VOLTAGE RATING (DC)","WAVELENGTH","WEIGHT","WIDTH","WORKING VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"C2012X5R1E105K125AA","C0805 - 1.45Height","","","","","","","","","","Ceramic Capacitors","","","","1uF / 25V","","","","","https://datasheet.ciiva.com/11787/0900766b80c1bb00-11787608.pdf?src-supplier=Rs","https://datasheet.ciiva.com/11787/0900766b80c1bb00-11787608.pdf?src-supplier=Rs","https://datasheet.ciiva.com/16449/e412-c-16449595.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/16449/e412-c-16449595.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/15192/getdatasheetpartid-726707-15192140.pdf?src-supplier=Verical","https://datasheet.ciiva.com/15192/getdatasheetpartid-726707-15192140.pdf?src-supplier=Verical","https://datasheet.ciiva.com/28602/1744655-28602171.pdf?src-supplier=Element14","https://datasheet.ciiva.com/28602/1744655-28602171.pdf?src-supplier=Element14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TDK","C2012X5R1E105K125AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=0.19, 10=0.106, 100=0.0662, 1000=0.04546 (USD)","","","","","","","","","","","","","","","","Yes","","","","","44032","Digikey","445-1419-1-ND","","","","","","","","","","","","","","","","","","","","","","*","C?","CAP CER 1UF 25V X5R 0805"
"C2012X7R1H104K085AA","C0805","","","","","","","0805","2012","0805","Ceramic Capacitors","","","","100n","","","","","https://datasheet.ciiva.com/11788/0900766b80c1bb00-11788128.pdf?src-supplier=Rs","https://datasheet.ciiva.com/11788/0900766b80c1bb00-11788128.pdf?src-supplier=Rs","https://datasheet.ciiva.com/6250/tdkmlcccaprange-6250821.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6250/tdkmlcccaprange-6250821.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6250/tdkmlcccaprange-6250824.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6250/tdkmlcccaprange-6250824.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/23803/1796654-23803035.pdf?src-supplier=Newark","https://datasheet.ciiva.com/23803/1796654-23803035.pdf?src-supplier=Newark","https://datasheet.ciiva.com/28602/1571323-28602204.pdf?src-supplier=Element14","https://datasheet.ciiva.com/28602/1571323-28602204.pdf?src-supplier=Element14","https://datasheet.ciiva.com/24191/e412-c-24191447.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/24191/e412-c-24191447.pdf?src-supplier=Future+Electronics","","","","","","","","","","","","","","","","","","","","","","","1.25mm","","X7R","","","","","","","","","","","","","","","","0.85mm","","","","","","","","","","","Lead Free","","","2mm","","","","","","","","TDK","C2012X7R1H104K085AA","","","","","","125°C","","","","","","","","","","","","","","","","","","-55°C","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Tape and Reel","","","2","","","","","1=0.13, 10=0.071, 50=0.0492, 100=0.0424, 500=0.03106, 1000=0.02754 (USD)","","","","","","No","","","","","","","","","","Yes","Yes","","C","","1425374","Digikey","445-7534-1-ND","","","","","SMD/SMT","","","0.037inch","","10%","","100nF","","50V","50V","","","","","0.049inch","","*","C?","Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"CG0603MLC-05E","R0603","","","","","","","0603","1608","0603","Varistors","20V","","","CG0603MLC-05E","","","","","https://datasheet.ciiva.com/27747/1163231-27747629.pdf?src-supplier=Jameco","https://datasheet.ciiva.com/27747/1163231-27747629.pdf?src-supplier=Jameco","https://datasheet.ciiva.com/8084/mlc-8084047.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/8084/mlc-8084047.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/6991/mlc-6991834.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6991/mlc-6991834.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6991/mlc-6991836.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6991/mlc-6991836.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6991/mlc-6991832.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6991/mlc-6991832.pdf?src-supplier=Digikey","","","","","","","","","","","","","","","","Tin","","","","","","50nA","","","0.8mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50nA","1.6mm","","","","","","","","Bourns","CG0603MLC-05E","","","","","","85°C","","","","","","","","","","","5V","","","","","","","-40°C","","","","","","","1","1","","","","","","","","","","","","","","","","","","","5V","","","","","","1","Tape and Reel","","","2","","","","","1=0.25, 10=0.169, 25=0.15, 100=0.1283, 250=0.11804, 500=0.11182, 1000=0.10671, 2500=0.10132 (USD)","","","No","","","No","","","","","","","","","","Yes","Yes","","MLC","","26693","Digikey","CG0603MLC-05ECT-ND","","","","","SMD/SMT","","","0.8mm","","","","0.5pF","","5V","","8V","5V","","","0.8mm","5V","*","Z?","ESD Suppressor Multilayer Varistor 5V Automotive 2-Pin Case 0603(1608Metric) T/R"
"CGA4J1X5R1C106M125AC","C0805 - 1.45Height","","","","","","","","","","Ceramic Capacitors","","","","10uF / 16V","","","","","http://product.tdk.com/en/catalog/datasheets/mlcc_automotive_general_en.pdf?src-supplier=Avnet","http://product.tdk.com/en/catalog/datasheets/mlcc_automotive_general_en.pdf?src-supplier=Avnet","http://product.tdk.com/capacitor/mlcc/detailed_information.php?lang=en&ref=jp&part_no=CGA4J1X5R1C106M125AC&src-supplier=Mouser","http://product.tdk.com/capacitor/mlcc/detailed_information.php?lang=en&ref=jp&part_no=CGA4J1X5R1C106M125AC&src-supplier=Mouser","https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf?src-supplier=Digikey","https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf?src-supplier=Digikey","https://product.tdk.com/info/en/documents/chara_sheet/CGA4J1X5R1C106M125AC.pdf?src-supplier=Digikey","https://product.tdk.com/info/en/documents/chara_sheet/CGA4J1X5R1C106M125AC.pdf?src-supplier=Digikey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5697LeadFree","","","","","","","","","","","TDK","CGA4J1X5R1C106M125AC","","4241ConductorMaterial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=0.41, 10=0.249, 100=0.1647, 1000=0.12091 (USD)","","","","","","","","","","","","","","","","Yes","","","","","406288","Digikey","445-12654-1-ND","","","","","","","","","","","","","","","","","","","","","","*","C?","Multilayer Ceramic Capacitor, 10 uF, 16 V, ± 20%, X5R, 0805 [2012 Metric]"
"CSL1901DW1","LED_0603","","","","","","","","","","LEDs","","","","Orange","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rohm","CSL1901DW1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=0.41, 10=0.278, 100=0.1982, 500=0.16192, 1000=0.14996 (USD)","","","","","","","","","","","","","","","","No","","","","","3254","Digikey","846-CSL1901DW1CT-ND","","","","","","","","","","","","","","","","","","","","","","*","D?","LED Uni-Color Orange 2-Pin Chip 0603(1608Metric) T/R"
"Component_1","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"DFE201610P-2R2M=P2","2016_IND","","","","","","","0806","2016","0806","Fixed Inductors","","","","2U2 / 2A","","","","","http://farnell.com//datasheets/2550119.pdf?src-supplier=Farnell","http://farnell.com//datasheets/2550119.pdf?src-supplier=Farnell","https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundmetalalloychiptype/m_dfe201610p.ashx?src-supplier=Digikey","https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundmetalalloychiptype/m_dfe201610p.ashx?src-supplier=Digikey","","","","","","","","","","","","","","","","","","","","","","","","","","","Ferrite","2A","","168mR","","","","","","","","168mR","","","","","","","","","","","1mm","0.039inch","","","","20%","","","","","","","","","0.079inch","","","","","","","","Murata","DFE201610P-2R2M=P2","","","","","","125°C","","","","","","","","","","","","","","","","","","-40°C","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cut Tape","","","","","","","","1=0.21, 10=0.177, 100=0.1454, 1000=0.11957 (USD)","","","","","","","","","","","","","","","1.4A","Yes","Yes","2A","DFE201610P","Shielded","4993","Digikey","490-10609-1-ND","","","","","","","1MHz","","","20%","","2.2uH","","","","","","","","0.063inch","","*","L?","Inductor Power Shielded Wirewound 2.2uH 20% 1MHz Metal 1.4A 0.168Ohm DCR 0806 T/R"
"EEE-1AA101WR","C_ALU_C_SIZE","","","","","","","","","Radial","Aluminum Electrolytic Capacitors","","","","100u / 10V","","","","","https://datasheet.ciiva.com/26945/getdatasheetpartid-169213-26945071.pdf?src-supplier=Verical","https://datasheet.ciiva.com/26945/getdatasheetpartid-169213-26945071.pdf?src-supplier=Verical","https://datasheet.ciiva.com/24027/aba0000ce2-40801-24027541.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/24027/aba0000ce2-40801-24027541.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/14598/70255710-14598233.pdf?src-supplier=Allied+Electronics","https://datasheet.ciiva.com/14598/70255710-14598233.pdf?src-supplier=Allied+Electronics","https://datasheet.ciiva.com/14605/70255710-14605689.pdf?src-supplier=Allied+Electronics","https://datasheet.ciiva.com/14605/70255710-14605689.pdf?src-supplier=Allied+Electronics","https://datasheet.ciiva.com/11673/aba0000ce2-11673882.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/11673/aba0000ce2-11673882.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/16427/aba0000ce2-16427544.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/16427/aba0000ce2-16427544.pdf?src-supplier=Future+Electronics","","","","","","","","Cylindrical","","","","","","","","","","","","","","","","5mm","","30%","","","","","","","","","","","","","","","5.4mm","","","","","","","","","","","Lead Free","","10uA","5.5mm","","","1000Hour","","","","","Panasonic","EEE-1AA101WR","","","","","","85°C","","","","","","","","","","","","","","","","","","-40°C","","","Surface Mount,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","Tape and Reel","","","","","","","","1=0.36, 10=0.22, 50=0.1606, 100=0.1419, 500=0.10952 (USD)","","","No","","AEC-Q200","Unknown","","","","","","","50mA","50mA","","Yes","Yes","","S","","38374","Digikey","PCE3867CT-ND","","","","","SMD/SMT","","","","","20%","","100uF","","","10V","","10V","","","","","*","C?","Aluminum Electrolytic Capacitor, 100 uF, 10 V, ± 20%, 1000 hours @ 85°C, Radial Can - SMD"
"FID_1MMC","FID_40x120D","","","","","","","","","","","","","","FID_1MMC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","FID?","Fiducial 40mil Diameter, 120mil Mask"
"M20-7820646","Hdr_Female_1x6_2.54mm","","","","","","","","","SIL","Headers and Wire Housings","","","","HDR FEMALE 1x6 2.54mm","","","","","https://cdn.harwin.com/pdfs/Harwin_PC_Connectors_M20.pdf?src-supplier=Rs","https://cdn.harwin.com/pdfs/Harwin_PC_Connectors_M20.pdf?src-supplier=Rs","http://www.harwin.com/include/downloads/pdfs/2010PAGE120.PDF?src-supplier=Avnet","http://www.harwin.com/include/downloads/pdfs/2010PAGE120.PDF?src-supplier=Avnet","https://cdn.harwin.com/pdfs/M20-782.pdf?src-supplier=Digikey","https://cdn.harwin.com/pdfs/M20-782.pdf?src-supplier=Digikey","https://cdn.harwin.com/pdfs/Harwin_PC_Connectors_M20.pdf?src-supplier=Mouser","https://cdn.harwin.com/pdfs/Harwin_PC_Connectors_M20.pdf?src-supplier=Mouser","https://cdn.harwin.com/pdfs/Harwin_PC_Connectors_M20.pdf?src-supplier=TTI","https://cdn.harwin.com/pdfs/Harwin_PC_Connectors_M20.pdf?src-supplier=TTI","","","","","","","","","Receptacle","","","TIN","Female","Bronze","","Tin","","Square","Female Socket","","","","","","","","","","","","","","","Pull","","UL94 V-0","","","","","","","","","","","","","","Black","Nylon","","","","","","","","","","","","","","Harwin","M20-7820646","12.63mm","","","","","105°C","","","","","","","","","","","","","","","","","","-40°C","","","Through Hole","","","","","","6","","","","","","","","","6","","","1","","","","","","","","","","","","38","Rail/Tube","","","","2.54mm","","","","1=1.24, 36=1.00861, 108=0.94435, 504=0.77266, 1008=0.6868, 5004=0.60095, 10008=0.5709 (USD)","","","No","","","","","","","","","","","","","Yes","Yes","","M20","","986","Digikey","952-1809-ND","","","","","Solder","","","","","","","","","","1kV","","","","","","","*","J?","2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, tin, 6 contacts"
"M20-7820842","Hdr_Female_1x8_2.54mm","","","","","","","","","SIL","Headers and Wire Housings","","","","HDR FEMALE 1x8 2.54mm","","","","","https://datasheet.ciiva.com/9480/m20-782-9480074.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/9480/m20-782-9480074.pdf?src-supplier=Avnet","","","","","","","","","","","","","","","","","Receptacle","","","GOLD","Female","Bronze","","Tin,Gold","","Square","Female Socket","","","","","","","","","","","","","","","Pull","","UL94 V-0","","","","","","Female","","","","","","","","Black","Nylon","","","","","","","","","","","","","","Harwin","M20-7820842","12.63mm","","","","","105°C","","","","","","","","","","","","","","","","","","-40°C","","","Through Hole","","","","","","8","","","","","","","","","8","","","1","","","","","","","","","","","","","Rail/Tube","","","","2.54mm","","","","1=1.44, 27=1.16556, 108=1.09102, 513=0.89263, 1026=0.79346, 5022=0.69427, 10017=0.65956 (USD)","","","No","","","","","","","","","","","","","Yes","Yes","","M20","","2660","Digikey","952-1823-ND","","","","","Solder","","","","","","","","","","1kV","","","","0.025397oz","","","*","J?","2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, selective gold + tin, 8 contacts"
"M20-7821046","Hdr_Female_1x10_2.54mm","","","","","","","","","","Headers and Wire Housings","","","","HDR FEMALE 1x10 2.54mm","","","","","https://datasheet.ciiva.com/11753/0900766b80dc1d2b-11753869.pdf?src-supplier=Rs","https://datasheet.ciiva.com/11753/0900766b80dc1d2b-11753869.pdf?src-supplier=Rs","https://datasheet.ciiva.com/26899/getdatasheetpartid-559226-26899379.pdf?src-supplier=Verical","https://datasheet.ciiva.com/26899/getdatasheetpartid-559226-26899379.pdf?src-supplier=Verical","https://datasheet.ciiva.com/6785/m20-782-6785605.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/6785/m20-782-6785605.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/10151/m20-782-10151366.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/10151/m20-782-10151366.pdf?src-supplier=Avnet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Harwin","M20-7821046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=1.46, 22=1.27, 110=1.13473, 506=0.94561, 1012=0.81052, 5016=0.71867, 10010=0.70245 (USD)","","","","","","","","","","","","","","","","Yes","","","","","2356","Digikey","952-1847-ND","","","","","","","","","","","","","","","","","","","","","","*","J?","2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, tin, 10 contacts"
"MH_7.4MMC_3.2MMD","MH_7.4MMD_3.2MMD","","","","","","","","","","","","","","MH_7.4MMC_3.2MMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","MH?","Mounting Hole 7.4mm Diameter, 3.2mm Drill"
"MH_7.4MMNC_3.2MMD","MH_7.4MMD_3.2MMD_NON_COPPER_NPTH","","","","","","","","","","","","","","MH_7.4MMNC_3.2MMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","MH?","Hole 7.4mm Diameter (Non Copper), 3.2mm Drill NPTH"
"MPZ2012S601AT000","C0805","","","","","","","0805","2012","0805","Ferrite Beads and Chips","","","","MPZ2012S601AT000","","","","","https://datasheet.ciiva.com/46634/beads-commercial-power-mpz-en-46634335.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/46634/beads-commercial-power-mpz-en-46634335.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/46634/beads-commercial-power-mpz-en-46634377.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/46634/beads-commercial-power-mpz-en-46634377.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/46634/beads-commercial-power-mpz-en-46634606.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/46634/beads-commercial-power-mpz-en-46634606.pdf?src-supplier=Digikey","","","","","","","","","","","","","","","","","","","","","","","","","228ConductorMaterial","2A","","100mR","","","","","","","","100mR","","","","","","","","","","","0.041inch","","","","600R","","","","","","","Lead Free","","","0.079inch","","","","","","","","TDK","MPZ2012S601AT000","","","2A","2A","","125°C","","","","","","","","","","","","","","","","","","-55°C","","","Surface Mount","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","Tape and Reel","","","","","","","","1=0.11, 10=0.076, 25=0.0664, 50=0.0594, 100=0.0533, 250=0.04584, 500=0.04074, 1000=0.03601 (USD)","","","","","","No","","","","","","","","","2A","Yes","Yes","","MPZ","","67973","Digikey","445-MPZ2012S601AT000CT-ND","","","","","","","100MHz","","","25%","","","","","","","","","","0.049inch","","*","FB?","Ferrite Beads Multi-Layer Power 600Ohm 25% 100MHz 2A 100mOhm DCR 0805 T/R"
"PAD_WITH_HOLE_4mmx1.5mm","PAD_WITH_HOLE_4mmx1.5mm","","","","","","","","","","","","","","4MMx1.5MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?","Pad with a hole 4mmx1.5mm"
"QPC02SXGN-RC","","","","","","","","","","","Connectors","","","","LINK","","","","","https://datasheet.ciiva.com/767/284-sxgn-11510-767869.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/767/284-sxgn-11510-767869.pdf?src-supplier=Digikey","","","","","","","","","","","","","","","","","","","","","","157ConductorMaterial","","","","","","","","3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5697LeadFree","","","","","","","","","","","Sullins","QPC02SXGN-RC","","","","","","85°C","","","","","","","","","","","","","","","","","","-40°C","","","","","","","","","2NUMBER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=0.1, 10=0.038, 25=0.0352, 50=0.0336, 100=0.032, 250=0.02996, 500=0.02852, 2000=0.02585, 4000=0.02461 (USD)","","","","","","","","","","","","","","","","Yes","","","","","639518","Digikey","S9337-ND","","","","","","","","","","","","","","","","","","","","","","*","LINK?","2 Position 2.54 mm Centerline Single Circuit Open Top Jumper"
